name,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,new_foreign,age_cat,club_id,big_club,new_signing
Nathan Ake,22,CB,3,8.0,1274,5.0,0.115,55,2.0,0,2,2,0,0
Dan Gosling,27,CM,2,3.0,184,5.0,0.001,49,1.0,0,3,2,0,0
Andrew Surman,30,CM,2,2.0,154,4.5,0.011000000000000001,44,1.0,0,4,2,0,0
Jordon Ibe,21,RW,1,8.0,504,5.0,0.004,36,1.0,0,1,2,0,0
Lewis Cook,20,CM,2,6.0,243,4.5,0.008,17,1.0,0,1,2,0,0
Lys Mousset,21,CF,1,4.0,131,5.0,0.001,14,2.0,0,1,2,0,0
Adam Federici,32,GK,4,1.0,126,4.0,0.015,8,4.0,0,5,2,0,0
Max Gradel,29,LW,1,7.0,287,5.0,0.001,8,4.0,0,4,2,0,0
Tyrone Mings,24,CB,3,5.0,422,4.5,0.004,4,1.0,0,2,2,0,0
Brad Smith,23,LB,3,2.0,297,4.0,0.033,4,4.0,0,2,2,0,0
Asmir Begovic,30,GK,4,8.0,697,4.5,0.09300000000000001,2,2.0,0,4,2,0,0
Niki Maenpaa,32,GK,4,0.25,103,4.0,0.021,0,2.0,0,5,3,0,0
Mathew Ryan,25,GK,4,3.5,344,4.5,0.015,0,4.0,0,3,3,0,0
Lewis Dunk,25,CB,3,5.0,140,4.5,0.040999999999999995,0,1.0,0,3,3,0,0
Shane Duffy,25,CB,3,5.0,243,4.5,0.006,0,2.0,0,3,3,0,0
Uwe Hunemeier,31,CB,3,1.5,88,4.0,0.08,0,2.0,0,4,3,0,0
Bruno,36,RB,1,0.5,215,4.5,0.004,0,3.0,0,6,3,0,0
Gaetan Bong,29,LB,3,1.5,97,4.5,0.002,0,4.0,0,4,3,0,0
Liam Rosenior,33,RB,3,1.0,132,4.0,0.032,0,1.0,0,5,3,0,0
